"skills","skill_count"
"sql","61"
"python","45"
"tableau","40"
"r","26"
"looker","18"
"excel","17"
"go","13"
"snowflake","13"
"power bi","12"
"oracle","9"
"hadoop","9"
"sas","8"
"databricks","7"
"c","7"
"azure","7"
"aws","7"
"pandas","7"
"java","6"
"nosql","6"
"pyspark","4"
"bigquery","4"
"spark","4"
"qlik","4"
"numpy","4"
"flow","4"
"jira","3"
"redshift","3"
"c++","3"
"scala","3"
"scikit-learn","3"
"spss","3"
"sql server","3"
"html","3"
"javascript","3"
"vba","3"
"ssis","2"
"alteryx","2"
"airflow","2"
"atlassian","2"
"confluence","2"
"gitlab","2"
"golang","2"
"sheets","2"
"swift","2"
"crystal","2"
"jupyter","2"
"zoom","2"
"linux","2"
"bitbucket","2"
"microstrategy","2"
"plotly","1"
"angular","1"
"cassandra","1"
"cognos","1"
"couchbase","1"
"css","1"
"db2","1"
"elasticsearch","1"
"fastapi","1"
"flask","1"
"gcp","1"
"ggplot2","1"
"git","1"
"github","1"
"jenkins","1"
"kafka","1"
"keras","1"
"kubernetes","1"
"matlab","1"
"matplotlib","1"
"mongodb","1"
"ms access","1"
"mysql","1"
"phoenix","1"
"postgresql","1"
"powerpoint","1"
"pytorch","1"
"react","1"
"rust","1"
"sap","1"
"ssrs","1"
"t-sql","1"
"tensorflow","1"
"unity","1"
"visio","1"
"watson","1"
"windows","1"
