"skills","skill_count","avg_salary","combined_score"
"sql","493","102364.41","50465652.16"
"tableau","293","104401.92","30589761.50"
"python","285","106526.78","30360131.91"
"excel","290","90542.03","26257188.30"
"r","175","105589.42","18478147.91"
"power bi","130","100270.07","13035109.50"
"looker","76","111240.58","8454284.00"
"sas","81","102037.24","8265016.66"
"snowflake","59","114681.85","6766229.00"
"powerpoint","69","90303.09","6230913.50"
"oracle","46","109522.59","5038039.37"
"word","57","87074.87","4963267.41"
"go","40","118776.99","4751079.50"
"sql server","43","102972.72","4427827.00"
"azure","35","113936.56","3987779.50"
"flow","38","102107.74","3880094.00"
"aws","31","116222.69","3602903.50"
"spss","32","100586.40","3218764.91"
"jira","30","106738.60","3202158.00"
"hadoop","24","120509.85","2892236.50"
"vba","31","93074.16","2885299.00"
"sheets","31","88556.51","2745251.80"
"alteryx","23","101387.24","2331906.50"
"javascript","22","103897.27","2285740.00"
"databricks","17","133342.12","2266816.00"
"java","20","111834.98","2236699.50"
"bigquery","18","116516.67","2097300.00"
"redshift","19","103083.32","1958583.00"
"pandas","13","146476.31","1904192.00"
"nosql","17","108551.68","1845378.50"
"c","15","122914.33","1843715.00"
"qlik","17","108041.21","1836700.50"
"ssis","17","107825.03","1833025.50"
"spark","16","112906.25","1806500.00"
"sharepoint","18","86707.22","1560730.00"
"ssrs","15","100815.03","1512225.50"
"outlook","16","93212.91","1491406.50"
"confluence","13","111716.08","1452309.00"
"c++","12","109336.71","1312040.50"
"dax","12","105208.33","1262500.00"
"html","10","113229.00","1132290.00"
"t-sql","11","99844.09","1098285.00"
"visio","11","96219.59","1058415.50"
"ms access","10","99561.30","995613.00"
